users,adoption,p_gossip,mix_level,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.2,0.02,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,20.0,10.0,35.0,3.5304710667626322,3.5304710667626322,13.666666666666666,13.666666666666666,,,
12000,0.2,0.03,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,20.0,10.0,25.0,5.4919599323141,5.4919599323141,20.8,20.8,,,
12000,0.2,0.03,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,20.0,10.0,25.0,5.4919599323141,5.4919599323141,20.8,20.8,,,
12000,0.2,0.03,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,20.0,10.0,25.0,5.4919599323141,5.4919599323141,20.8,20.8,,,
12000,0.2,0.03,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,20.0,10.0,25.0,5.4919599323141,5.4919599323141,20.8,20.8,,,
12000,0.2,0.05,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,15.0,5.0,20.0,9.33356546377732,9.33356546377732,33.733333333333334,33.733333333333334,,,
12000,0.2,0.05,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,15.0,5.0,20.0,9.33356546377732,9.33356546377732,33.733333333333334,33.733333333333334,,,
12000,0.2,0.05,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,15.0,5.0,20.0,9.33356546377732,9.33356546377732,33.733333333333334,33.733333333333334,,,
12000,0.2,0.05,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,15.0,5.0,20.0,9.33356546377732,9.33356546377732,33.733333333333334,33.733333333333334,,,
12000,0.3,0.003,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,0.9333333333333333,55.0,50.0,83.75,0.7190156781043983,0.7190156781043983,3.4,3.4,,,
12000,0.3,0.003,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,0.9333333333333333,55.0,50.0,83.75,0.7190156781043983,0.7190156781043983,3.4,3.4,,,
12000,0.3,0.003,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,0.9333333333333333,55.0,50.0,83.75,0.7190156781043983,0.7190156781043983,3.4,3.4,,,
12000,0.3,0.003,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,0.9333333333333333,55.0,50.0,83.75,0.7190156781043983,0.7190156781043983,3.4,3.4,,,
12000,0.3,0.005,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,0.9333333333333333,50.0,38.75,83.75,1.2957467223489292,1.2957467223489292,4.733333333333333,4.733333333333333,,,
12000,0.3,0.005,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,0.9333333333333333,50.0,38.75,83.75,1.2957467223489292,1.2957467223489292,4.733333333333333,4.733333333333333,,,
12000,0.3,0.005,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,0.9333333333333333,50.0,38.75,83.75,1.2957467223489292,1.2957467223489292,4.733333333333333,4.733333333333333,,,
12000,0.3,0.005,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,0.9333333333333333,50.0,38.75,83.75,1.2957467223489292,1.2957467223489292,4.733333333333333,4.733333333333333,,,
12000,0.3,0.007,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,50.0,40.0,87.5,1.8225405901211043,1.8225405901211043,6.866666666666666,6.866666666666666,,,
12000,0.3,0.007,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,50.0,40.0,87.5,1.8225405901211043,1.8225405901211043,6.866666666666666,6.866666666666666,,,
12000,0.3,0.007,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,50.0,40.0,87.5,1.8225405901211043,1.8225405901211043,6.866666666666666,6.866666666666666,,,
12000,0.3,0.007,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,50.0,40.0,87.5,1.8225405901211043,1.8225405901211043,6.866666666666666,6.866666666666666,,,
12000,0.3,0.01,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,50.0,35.0,60.0,2.5579737634418245,2.5579737634418245,8.8,8.8,,,
12000,0.3,0.01,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,50.0,35.0,60.0,2.5579737634418245,2.5579737634418245,8.8,8.8,,,
12000,0.3,0.01,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,50.0,35.0,60.0,2.5579737634418245,2.5579737634418245,8.8,8.8,,,
12000,0.3,0.01,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,50.0,35.0,60.0,2.5579737634418245,2.5579737634418245,8.8,8.8,,,
12000,0.3,0.015,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,35.0,15.0,47.5,3.946662751766012,3.946662751766012,14.733333333333333,14.733333333333333,,,
12000,0.3,0.015,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,35.0,15.0,47.5,3.946662751766012,3.946662751766012,14.733333333333333,14.733333333333333,,,
12000,0.3,0.015,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,35.0,15.0,47.5,3.946662751766012,3.946662751766012,14.733333333333333,14.733333333333333,,,
12000,0.3,0.015,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,35.0,15.0,47.5,3.946662751766012,3.946662751766012,14.733333333333333,14.733333333333333,,,
12000,0.3,0.02,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,15.0,15.0,37.5,5.309307958225147,5.309307958225147,19.866666666666667,19.866666666666667,,,
12000,0.3,0.02,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,15.0,15.0,37.5,5.309307958225147,5.309307958225147,19.866666666666667,19.866666666666667,,,
12000,0.3,0.02,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,15.0,15.0,37.5,5.309307958225147,5.309307958225147,19.866666666666667,19.866666666666667,,,
12000,0.3,0.02,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,15.0,15.0,37.5,5.309307958225147,5.309307958225147,19.866666666666667,19.866666666666667,,,
12000,0.3,0.03,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,15.0,7.5,15.0,7.775207184987994,7.775207184987994,28.866666666666667,28.866666666666667,,,
12000,0.3,0.03,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,15.0,7.5,15.0,7.775207184987994,7.775207184987994,28.866666666666667,28.866666666666667,,,
12000,0.3,0.03,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,15.0,7.5,15.0,7.775207184987994,7.775207184987994,28.866666666666667,28.866666666666667,,,
12000,0.3,0.03,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,15.0,7.5,15.0,7.775207184987994,7.775207184987994,28.866666666666667,28.866666666666667,,,
12000,0.3,0.05,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,10.0,2.5,12.5,13.234978785833176,13.234978785833176,51.6,51.6,,,
12000,0.3,0.05,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,10.0,2.5,12.5,13.234978785833176,13.234978785833176,51.6,51.6,,,
12000,0.3,0.05,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,10.0,2.5,12.5,13.234978785833176,13.234978785833176,51.6,51.6,,,
12000,0.3,0.05,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,10.0,2.5,12.5,13.234978785833176,13.234978785833176,51.6,51.6,,,
