users,adoption,avg_group_size,msg_rate_group,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.3,8,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8899326324462891,0.0,0.0,1.0,0.0,0.0,,,,,14984.0,,,54.372773317451745,54.372773317451745,134.0,134.0
12000,0.3,8,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.926999568939209,0.0,0.0,1.0,0.0,0.0,,,,,21492.0,,,54.80148361919382,54.80148361919382,189.06666666666666,189.06666666666666
12000,0.3,8,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9518399238586426,0.0,0.0,1.0,0.0,0.0,,,,,27864.0,,,53.55347032113718,53.55347032113718,229.86666666666667,229.86666666666667
12000,0.3,16,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.902569055557251,0.0,0.0,1.0,0.0,0.0,,,,,8622.0,,,53.6779471558102,53.6779471558102,73.46666666666667,73.46666666666667
12000,0.3,16,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0004706382751465,0.0,0.0,1.0,0.0,0.0,,,,,27635.0,,,52.45631516076126,52.45631516076126,225.93333333333334,225.93333333333334
12000,0.3,16,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0158450603485107,0.0,0.0,1.0,0.0,0.0,,,,,46918.0,,,54.09713365849031,54.09713365849031,392.53333333333336,392.53333333333336
12000,0.3,16,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0350821018218994,0.0,0.0,1.0,0.0,0.0,,,,,65971.0,,,53.146736666520006,53.146736666520006,529.2,529.2
12000,0.3,32,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9208543300628662,0.0,0.0,1.0,0.0,0.0,,,,,8578.0,,,53.10568802494796,53.10568802494796,71.0,71.0
12000,0.3,32,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9960639476776123,0.0,0.0,1.0,0.0,0.0,,,,,57860.0,,,53.31821965204602,53.31821965204602,493.8,493.8
12000,0.3,32,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.057157039642334,0.0,0.0,1.0,0.0,0.0,,,,,107612.0,,,52.644997138529256,52.644997138529256,848.8666666666667,848.8666666666667
