users,adoption,avg_group_size,msg_rate_group,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.2,96,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,33.67982716945584,33.67982716945584,991.0,991.0,,,
12000,0.2,96,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,35.42421676188227,35.42421676188227,1840.4666666666667,1840.4666666666667,,,
12000,0.2,96,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,36.11202512164341,36.11202512164341,3024.6,3024.6,,,
12000,0.3,8,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,5.0,54.217307573818495,54.217307573818495,76.2,76.2,,,
12000,0.3,8,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,5.0,54.372773317451745,54.372773317451745,134.0,134.0,,,
12000,0.3,8,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,54.80148361919382,54.80148361919382,189.06666666666666,189.06666666666666,,,
12000,0.3,8,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.55347032113718,53.55347032113718,229.86666666666667,229.86666666666667,,,
12000,0.3,16,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.6779471558102,53.6779471558102,73.46666666666667,73.46666666666667,,,
12000,0.3,16,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,52.45631516076126,52.45631516076126,225.93333333333334,225.93333333333334,,,
12000,0.3,16,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,54.09713365849031,54.09713365849031,392.53333333333336,392.53333333333336,,,
12000,0.3,16,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.146736666520006,53.146736666520006,529.2,529.2,,,
12000,0.3,32,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,5.0,53.10568802494796,53.10568802494796,71.0,71.0,,,
12000,0.3,32,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.31821965204602,53.31821965204602,493.8,493.8,,,
12000,0.3,32,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,52.644997138529256,52.644997138529256,848.8666666666667,848.8666666666667,,,
12000,0.3,32,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.766140344342496,53.766140344342496,1356.8,1356.8,,,
12000,0.3,64,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.519411537156934,53.519411537156934,74.06666666666666,74.06666666666666,,,
12000,0.3,64,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,54.161990715214955,54.161990715214955,1040.3333333333333,1040.3333333333333,,,
12000,0.3,64,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.346192503450716,53.346192503450716,2015.4,2015.4,,,
12000,0.3,64,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,54.26611036838939,54.26611036838939,2946.3333333333335,2946.3333333333335,,,
12000,0.3,96,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.972059277159865,53.972059277159865,75.4,75.4,,,
12000,0.3,96,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,54.426986062648,54.426986062648,1540.4666666666667,1540.4666666666667,,,
12000,0.3,96,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.525379876730845,53.525379876730845,2965.6666666666665,2965.6666666666665,,,
12000,0.3,96,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,53.66776644570821,53.66776644570821,4479.133333333333,4479.133333333333,,,
