mode,p_gossip,adoption,t_since_release_min,aware_new_frac_mean,aware_new_frac_q25,aware_new_frac_q75,cum_msgs_mean,cum_gossip_bytes_mean,reps
sth_only,0.012,0.2,45.0,0.0,0.0,0.0,6685.875,1888.0,8
sth_only,0.012,0.2,50.0,0.0,0.0,0.0,7306.5,2080.0,8
sth_only,0.012,0.2,55.0,0.0,0.0,0.0,7971.125,2288.0,8
sth_only,0.012,0.2,60.0,0.0,0.0,0.0,8632.625,2368.0,8
sth_only,0.012,0.2,65.0,0.0,0.0,0.0,9249.25,2624.0,8
sth_only,0.012,0.2,70.0,0.0,0.0,0.0,9855.0,2736.0,8
sth_only,0.012,0.2,75.0,0.0,0.0,0.0,10452.375,3072.0,8
sth_only,0.012,0.2,80.0,0.0,0.0,0.0,11078.625,3120.0,8
sth_only,0.012,0.2,85.0,0.0,0.0,0.0,11729.625,3152.0,8
sth_only,0.012,0.2,90.0,0.0,0.0,0.0,12393.875,3200.0,8
sth_only,0.012,0.2,95.0,0.0,0.0,0.0,13062.625,3600.0,8
sth_only,0.012,0.2,100.0,0.0,0.0,0.0,13750.375,3840.0,8
sth_only,0.012,0.2,105.0,0.0,0.0,0.0,14408.875,4304.0,8
sth_only,0.012,0.2,110.0,0.0,0.0,0.0,15088.75,4832.0,8
sth_only,0.012,0.2,115.0,0.0,0.0,0.0,15804.75,5216.0,8
sth_only,0.02,0.2,0.0,0.0,0.0,0.0,740.625,624.0,8
sth_only,0.02,0.2,5.0,0.0,0.0,0.0,1416.75,880.0,8
sth_only,0.02,0.2,10.0,0.0,0.0,0.0,2057.5,1472.0,8
sth_only,0.02,0.2,15.0,0.0,0.0,0.0,2711.625,1792.0,8
sth_only,0.02,0.2,20.0,0.0,0.0,0.0,3356.5,2096.0,8
sth_only,0.02,0.2,25.0,0.0,0.0,0.0,4026.5,2352.0,8
sth_only,0.02,0.2,30.0,0.0,0.0,0.0,4672.75,2464.0,8
sth_only,0.02,0.2,35.0,0.0,0.0,0.0,5342.375,2640.0,8
sth_only,0.02,0.2,40.0,0.0,0.0,0.0,6042.0,2880.0,8
sth_only,0.02,0.2,45.0,0.0,0.0,0.0,6685.875,3376.0,8
sth_only,0.02,0.2,50.0,0.0,0.0,0.0,7306.5,3616.0,8
sth_only,0.02,0.2,55.0,0.0,0.0,0.0,7971.125,4096.0,8
sth_only,0.02,0.2,60.0,0.0,0.0,0.0,8632.625,4464.0,8
sth_only,0.02,0.2,65.0,0.0,0.0,0.0,9249.25,4976.0,8
sth_only,0.02,0.2,70.0,0.0,0.0,0.0,9855.0,5088.0,8
sth_only,0.02,0.2,75.0,0.0,0.0,0.0,10452.375,5456.0,8
sth_only,0.02,0.2,80.0,0.0,0.0,0.0,11078.625,5568.0,8
sth_only,0.02,0.2,85.0,0.0,0.0,0.0,11729.625,5616.0,8
sth_only,0.02,0.2,90.0,0.0,0.0,0.0,12393.875,6128.0,8
sth_only,0.02,0.2,95.0,0.0,0.0,0.0,13062.625,6592.0,8
sth_only,0.02,0.2,100.0,0.0,0.0,0.0,13750.375,6896.0,8
sth_only,0.02,0.2,105.0,0.0,0.0,0.0,14408.875,7472.0,8
sth_only,0.02,0.2,110.0,0.0,0.0,0.0,15088.75,8048.0,8
sth_only,0.02,0.2,115.0,0.0,0.0,0.0,15804.75,8480.0,8
sth_proof,0.005,0.2,0.0,0.0,0.0,0.0,740.625,896.0,8
sth_proof,0.005,0.2,5.0,0.0,0.0,0.0,1416.75,1904.0,8
sth_proof,0.005,0.2,10.0,0.0,0.0,0.0,2057.5,5824.0,8
sth_proof,0.005,0.2,15.0,0.0,0.0,0.0,2711.625,5936.0,8
sth_proof,0.005,0.2,20.0,0.0,0.0,0.0,3356.5,6160.0,8
sth_proof,0.005,0.2,25.0,0.0,0.0,0.0,4026.5,7168.0,8
sth_proof,0.005,0.2,30.0,0.0,0.0,0.0,4672.75,7504.0,8
sth_proof,0.005,0.2,35.0,0.0,0.0,0.0,5342.375,8064.0,8
sth_proof,0.005,0.2,40.0,0.0,0.0,0.0,6042.0,9184.0,8
sth_proof,0.005,0.2,45.0,0.0,0.0,0.0,6685.875,9184.0,8
sth_proof,0.005,0.2,50.0,0.0,0.0,0.0,7306.5,9296.0,8
sth_proof,0.005,0.2,55.0,0.0,0.0,0.0,7971.125,9408.0,8
sth_proof,0.005,0.2,60.0,0.0,0.0,0.0,8632.625,9408.0,8
sth_proof,0.005,0.2,65.0,0.0,0.0,0.0,9249.25,9408.0,8
sth_proof,0.005,0.2,70.0,0.0,0.0,0.0,9855.0,9968.0,8
sth_proof,0.005,0.2,75.0,0.0,0.0,0.0,10452.375,11760.0,8
sth_proof,0.005,0.2,80.0,0.0,0.0,0.0,11078.625,11984.0,8
sth_proof,0.005,0.2,85.0,0.0,0.0,0.0,11729.625,11984.0,8
sth_proof,0.005,0.2,90.0,0.0,0.0,0.0,12393.875,12096.0,8
sth_proof,0.005,0.2,95.0,0.0,0.0,0.0,13062.625,13328.0,8
sth_proof,0.005,0.2,100.0,0.0,0.0,0.0,13750.375,13440.0,8
sth_proof,0.005,0.2,105.0,0.0,0.0,0.0,14408.875,16240.0,8
sth_proof,0.005,0.2,110.0,0.0,0.0,0.0,15088.75,16576.0,8
sth_proof,0.005,0.2,115.0,0.0,0.0,0.0,15804.75,18704.0,8
sth_proof,0.012,0.2,0.0,0.0,0.0,0.0,740.625,1456.0,8
sth_proof,0.012,0.2,5.0,0.0,0.0,0.0,1416.75,2688.0,8
sth_proof,0.012,0.2,10.0,0.0,0.0,0.0,2057.5,6720.0,8
sth_proof,0.012,0.2,15.0,0.0,0.0,0.0,2711.625,7280.0,8
sth_proof,0.012,0.2,20.0,0.0,0.0,0.0,3356.5,7952.0,8
sth_proof,0.012,0.2,25.0,0.0,0.0,0.0,4026.5,9184.0,8
sth_proof,0.012,0.2,30.0,0.0,0.0,0.0,4672.75,9856.0,8
sth_proof,0.012,0.2,35.0,0.0,0.0,0.0,5342.375,10640.0,8
sth_proof,0.012,0.2,40.0,0.0,0.0,0.0,6042.0,11984.0,8
sth_proof,0.012,0.2,45.0,0.0,0.0,0.0,6685.875,13216.0,8
sth_proof,0.012,0.2,50.0,0.0,0.0,0.0,7306.5,14560.0,8
sth_proof,0.012,0.2,55.0,0.0,0.0,0.0,7971.125,16016.0,8
sth_proof,0.012,0.2,60.0,0.0,0.0,0.0,8632.625,16576.0,8
sth_proof,0.012,0.2,65.0,0.0,0.0,0.0,9249.25,18368.0,8
