users,adoption_fixed,msg_rate_group,avg_group_size,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.1,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9913029670715332,0.0,0.0,0.6666666666666666,90.0,90.0,,,,,43684.5,,,0.452845615162646,0.452845615162646,1.9333333333333333,1.9333333333333333
12000,0.1,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.2839834690093994,0.0,0.0,1.0,75.0,75.0,,,,,225860.0,,,0.42377450820368645,0.42377450820368645,14.466666666666667,14.466666666666667
12000,0.1,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.3452796936035156,0.0,0.0,1.0,35.0,35.0,,,,,399457.0,,,0.3941522062285808,0.3941522062285808,27.0,27.0
12000,0.1,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.025083065032959,0.0,0.0,0.8,75.0,75.0,,,,,46855.5,,,0.4625632576066436,0.4625632576066436,1.8666666666666667,1.8666666666666667
12000,0.1,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1886522769927979,0.0,0.0,1.0,45.0,45.0,,,,,265120.0,,,0.4390535236869815,0.4390535236869815,7.733333333333333,7.733333333333333
12000,0.1,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.3618910312652588,0.0,0.0,1.0,55.0,55.0,,,,,582814.0,,,0.43148784646452704,0.43148784646452704,33.46666666666667,33.46666666666667
12000,0.2,0.0,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.116861343383789,0.0,0.0,0.7333333333333333,75.0,75.0,,,,,12612.0,,,0.9429497453316329,0.9429497453316329,1.2,1.2
12000,0.2,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9777834415435791,0.0,0.0,0.8,80.0,80.0,,,,,12998.5,,,0.909793967850613,0.909793967850613,1.3333333333333333,1.3333333333333333
12000,0.2,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9761397838592529,0.0,0.0,0.7333333333333333,80.0,80.0,,,,,12714.0,,,0.9452705355119304,0.9452705355119304,1.2,1.2
12000,0.2,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0099766254425049,0.0,0.0,0.8,100.0,100.0,,,,,19614.0,,,0.9675228403803273,0.9675228403803273,1.3333333333333333,1.3333333333333333
12000,0.2,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0093317031860352,0.0,0.0,0.8,52.5,52.5,,,,,45316.0,,,0.6910592625157457,0.6910592625157457,2.4,2.4
12000,0.2,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0533273220062256,0.0,0.0,0.9333333333333333,30.0,30.0,,,,,74428.0,,,0.762055495215405,0.762055495215405,4.6,4.6
12000,0.2,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0051133632659912,0.0,0.0,0.9333333333333333,80.0,80.0,,,,,21841.0,,,0.7718847766778156,0.7718847766778156,1.6666666666666667,1.6666666666666667
12000,0.2,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.095693588256836,0.0,0.0,1.0,40.0,40.0,,,,,70023.0,,,0.9708065814072246,0.9708065814072246,8.333333333333334,8.333333333333334
12000,0.2,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1108777523040771,0.0,0.0,1.0,65.0,65.0,,,,,152251.0,,,0.6327929245036751,0.6327929245036751,10.133333333333333,10.133333333333333
12000,0.2,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0230801105499268,0.0,0.0,0.8666666666666667,85.0,85.0,,,,,32834.0,,,0.9550908998250333,0.9550908998250333,2.0,2.0
12000,0.2,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1408214569091797,0.0,0.0,1.0,50.0,50.0,,,,,139255.0,,,0.8923911283977027,0.8923911283977027,11.666666666666666,11.666666666666666
12000,0.2,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.2115235328674316,0.0,0.0,1.0,35.0,35.0,,,,,266600.0,,,0.8024455808180437,0.8024455808180437,25.533333333333335,25.533333333333335
12000,0.2,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9977002143859863,0.0,0.0,0.9333333333333333,57.5,57.5,,,,,36775.5,,,0.91403444241333,0.91403444241333,3.466666666666667,3.466666666666667
12000,0.2,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1015443801879883,0.0,0.0,1.0,25.0,25.0,,,,,177463.0,,,0.8873407272653236,0.8873407272653236,20.266666666666666,20.266666666666666
12000,0.2,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.2027537822723389,0.0,0.0,1.0,10.0,10.0,,,,,358257.0,,,0.9421438076954411,0.9421438076954411,51.8,51.8
12000,0.2,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9567961692810059,0.0,0.0,0.9333333333333333,57.5,57.5,,,,,44140.0,,,0.9111301878466659,0.9111301878466659,4.8,4.8
12000,0.2,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.2740986347198486,0.0,0.0,1.0,10.0,10.0,,,,,220376.0,,,0.864587063638932,0.864587063638932,25.6,25.6
12000,0.2,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.484165906906128,0.0,0.0,1.0,15.0,15.0,,,,,479447.0,,,0.8949204796554019,0.8949204796554019,60.733333333333334,60.733333333333334
